Time,Channel D
(us),(mV)

0.43600001,3.14960600
0.43680001,3.14960600
0.43760001,2.36220500
0.43840001,2.36220500
0.43920001,3.14960600
0.44000001,3.93700800
0.44080001,5.11811000
0.44160001,5.11811000
0.44240001,5.51181100
0.44320001,5.51181100
0.44400001,4.72440900
0.44480001,4.33070900
0.44560001,3.93700800
0.44640001,3.54330700
0.44720001,3.14960600
0.44800001,3.93700800
0.44880001,3.54330700
0.44960001,3.54330700
0.45040001,3.54330700
0.45120001,3.54330700
0.45200001,3.54330700
0.45280001,3.14960600
0.45360001,2.75590500
0.45440001,1.96850400
0.45520001,0.78740150
0.45600001,-0.39370070
0.45680001,-0.39370070
0.45760001,-0.39370070
0.45840001,0.39370070
0.45920001,0.00000000
0.46000001,0.39370070
0.46080001,-0.39370070
0.46160001,-0.39370070
0.46240001,0.00000000
0.46320001,0.39370070
0.46400001,-0.39370070
0.46480001,-1.18110200
0.46560001,-2.36220500
0.46640001,-3.54330700
0.46720001,-3.14960600
0.46800001,-2.36220500
0.46880001,-1.18110200
0.46960001,-1.18110200
0.47040001,-1.57480300
0.47120001,-2.36220500
0.47200001,-2.36220500
0.47280001,-3.14960600
0.47360001,-3.14960600
0.47440001,-2.75590500
0.47520001,-2.75590500
0.47600001,-1.96850400
0.47680001,-2.36220500
0.47760001,-2.36220500
0.47840001,-1.96850400
0.47920001,-1.18110200
0.48000001,-1.18110200
0.48080001,-1.57480300
0.48160001,-2.75590500
0.48240001,-3.14960600
0.48320001,-3.54330700
0.48400001,-3.14960600
0.48480001,-1.96850400
0.48560001,-1.57480300
0.48640001,-0.78740150
0.48720001,-1.18110200
0.48800001,-0.78740150
0.48880001,-0.78740150
0.48960001,0.00000000
0.49040001,0.78740150
0.49120001,0.78740150
0.49200001,0.39370070
0.49280001,0.00000000
0.49360001,-0.78740150
0.49440001,-0.39370070
0.49520001,-0.39370070
0.49600001,0.39370070
0.49680001,0.78740150
0.49760001,1.18110200
0.49840001,1.57480300
0.49920001,1.18110200
0.50000001,1.96850400
0.50080001,1.57480300
0.50160001,1.57480300
0.50240001,1.18110200
0.50320001,0.39370070
0.50400001,-0.39370070
0.50480001,-0.39370070
0.50560001,0.39370070
0.50640001,0.78740150
0.50720001,1.57480300
0.50800001,2.36220500
0.50880001,2.75590500
0.50960001,2.75590500
0.51040001,2.75590500
0.51120001,2.36220500
0.51200001,1.57480300
0.51280001,0.78740150
0.51360001,0.00000000
0.51440001,0.00000000
0.51520001,-0.39370070
